User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/10-11-001-03W4/00, 255.7, 1194.7, 0, ABOVE Kmilk_rv, 1174, Mlivngstn
100/01-24-001-07W4/00, 175, 1175, 0, ABOVE Kmilk_rv, 1156, Jsawtooth
100/04-25-001-07W4/00, 25, 775, 0, ABOVE Kmilk_rv, 771.6, Kbi_ss
100/15-08-001-08W4/00, 600, 894, 592.4, Kbfs, 889.8, Ksunburst
100/13-31-001-18W4/00, 25, 825, 0, ABOVE Kmilk_rv, 818.2, Kbi_ss
100/15-16-001-20W4/00, 450.9, 1674.6, 0, ABOVE K2nd_ws, 1664.9, Dwabamun
100/15-16-001-20W4/00, 450.9, 1674.6, 0, ABOVE K2nd_ws, 1664.9, Dwabamun
100/05-27-001-24W4/00, 601.2, 2775, 0, ABOVE Kmilk_rv, 1902.1, Kbfs
100/07-06-002-05W4/00, 230.1, 1127.1, 0, ABOVE Kmilk_rv, 1102.7, Mlivngstn
100/05-17-002-08W4/00, 25, 1350, 0, ABOVE Kmilk_rv, 2837, BELOW Mturner_v_p
100/02-18-002-08W4/00, 150, 950, 0, ABOVE Kmilk_rv, 929, Jrierdon
100/01-15-002-09W4/00, 164.7, 976, 0, ABOVE Kmilk_r_L, 531.3, K2ws_ss
100/04-12-002-10W4/00, 175, 1100, 0, ABOVE Kcolorado, 1084.6, Mlivngstn
100/16-02-002-16W4/00, 160, 870, 0, ABOVE K2nd_ws, 853.5, Mlivngstn
100/08-02-002-21W4/00, 515.5, 1787.3, 0, ABOVE Kcolorado, 1760, Dwabamun
100/13-29-002-23W4/00, 25, 1117.5, 0, ABOVE Kbelly_rv, 549.7, Kbelly_rv
100/13-02-003-07W4/00, 25, 637, 0, ABOVE Kpakowki, 225, Kmilk_rv
102/07-14-003-07W4/00, 330, 631, 207.5, Kmilk_rv, 207.5, Kmilk_rv
100/13-11-003-11W4/00, 175, 900, 0, ABOVE Kcolorado, 883, Jrierdon
100/01-16-003-11W4/00, 150, 975, 0, ABOVE Kcolorado, 929.5, Mlivngstn
100/06-01-003-13W4/00, 205.3, 807.5, 0, ABOVE K2nd_ws, 778.6, Ksunburst
100/08-14-003-13W4/00, 150, 945, 0, ABOVE Kbarons, 2837, BELOW Mturner_v_p
100/06-18-003-13W4/00, 202.1, 823, 0, ABOVE K2ws_ss, 464, Kbarons
100/15-23-003-13W4/00, 450, 850, 417.5, K2nd_ws, 836, Mlivngstn
100/07-27-003-13W4/00, 167.7, 830, 0, ABOVE Kcolorado, 676.1, Kmannvl
100/06-22-003-20W4/00, 875, 1376.5, 0, ABOVE Kbi_ss, 1031, Kbi_ss
100/09-03-003-21W4/00, 516.4, 1849.8, 0, ABOVE Kpakowki, 1820.1, Dwabamun
100/09-12-003-01W5/00, 2810, 3760, 2810, Jkootenay, 3612.2, Dwabamun
100/04-11-004-13W4/00, 525, 900, 473.5, K2ws_ss, 890, Mlivngstn
100/12-32-004-13W4/00, 500, 925, 461.9, K2nd_ws, 911.8, Mlivngstn
100/13-36-004-25W4/00, 352, 2319, 0, ABOVE Kbelly_rv, 1231.2, Kmilk_rv
100/14-04-004-26W4/00, 1970, 2421, 1805, Kcolorado, 2837, BELOW Mturner_v_p
100/01-11-004-29W4/00, 2653, 3861.6, 0, ABOVE Mturner_v, 3491.9, Mturner_v
100/16-29-004-29W4/00, 2950, 3838, 0, ABOVE Jkootenay, 3713.2, Mrundle
100/01-08-004-30W4/00, 42.8, 676.1, 0, ABOVE Mrundle_p, 443, Kbluesky_p
100/07-08-004-30W4/00, 7, 3725, 0, ABOVE Kpakowki, 1104.3, Kpakowki
100/06-13-004-01W5/00, 7.2, 3840, 0, ABOVE Mmt_head, 271.5, Dwabamun_p
100/04-20-004-01W5/00, 2925.2, 4092, 0, ABOVE /FAULT/, 4035, Mbanff
100/05-30-004-01W5/00, 2780, 2868, 2585, Jfernie, 2804.6, Mmt_head
100/11-35-005-13W4/00, 610, 1000, 543, K2nd_ws, 989, Mlivngstn
100/09-24-005-17W4/00, 313, 993, 0, ABOVE K2nd_ws, 948, Jrierdon
102/10-28-005-19W4/00, 25, 422.7, 0, ABOVE Kmilk_rv, 391.4, Kmed_hat
100/10-17-005-20W4/00, 202.2, 1248.4, 0, ABOVE Kpakowki, 1234.1, Mlivngstn
100/10-24-005-21W4/00, 800, 1271.2, 798.2, K2ws_ss, 1178.4, Kglauc_ss
100/14-05-005-25W4/00, 652.6, 2868.1, 0, ABOVE Dwabamun_p, 359, Dnisku_p
100/07-01-005-30W4/00, 4775, 5175, 2651, K2nd_ws, 2651, K2nd_ws
100/03-10-005-02W5/00, 10.1, 2796.5, 0, ABOVE Klea_park, 2572.6, Jfernie
100/10-34-006-05W4/00, 285, 1985, 0, ABOVE Kpakowki, 1889, Dbvrhl_lk
100/03-12-006-14W4/00, 293, 961, 0, ABOVE Kmed_hat, 947.5, Mlivngstn
100/06-32-006-14W4/00, 264, 985, 0, ABOVE Kcolorado, 973, Mlivngstn
