User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/02-35-077-14W6/00, 425, 2573, 0, ABOVE Kdoe_ck, 2280, TRmontney
100/02-07-077-16W6/00, 608, 2829.5, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
102/05-18-077-16W6/00, 605, 2828, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/04-30-077-16W6/00, 470, 2776, 0, ABOVE Kshftbury, 2756.7, PRbelloy
102/16-03-077-17W6/00, 608, 2899.6, 607, Kdunvegan, 1407, BELOW TRdoig_p
100/13-08-077-17W6/00, 603, 3035, 0, ABOVE Kbfs, 3013.5, PRbelloy
100/15-12-077-17W6/00, 469, 2847, 0, ABOVE Kshftbury, 1407, BELOW TRdoig_p
100/15-12-077-17W6/02, 469, 2847, 0, ABOVE Kshftbury, 1407, BELOW TRdoig_p
100/13-22-077-17W6/00, 605, 2828, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/14-23-077-17W6/00, 471, 2827, 0, ABOVE Kshftbury, 1407, BELOW TRdoig_p
100/02-31-077-17W6/00, 606, 2827.5, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/07-31-077-17W6/00, -1, 2873.5, 0, ABOVE Kshftbury, 2566, TRmontney
100/08-31-077-17W6/00, 611.5, 2863, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/02-21-077-18W6/00, 479, 3077.5, 0, ABOVE Kshftbury, 1407, BELOW TRdoig_p
100/16-33-077-18W6/00, 611.5, 3043, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/02-32-077-19W6/00, 626, 3136, 531, Kshftbury, 1407, BELOW TRdoig_p
100/02-32-077-19W6/02, 626, 3136, 531, Kshftbury, 1407, BELOW TRdoig_p
100/02-32-077-19W6/03, 626, 3136, 531, Kshftbury, 1407, BELOW TRdoig_p
100/05-16-077-20W6/00, 463, 1699, 0, ABOVE TRhalfway, 2747, PRbelloy_p
100/02-25-078-15W6/00, 339.5, 2286, 0, ABOVE Kshftbury, 1407, BELOW TRdoig_p
100/04-27-078-16W6/02, 421, 2573, 0, ABOVE TRdoig, 2256.5, TRmontney
100/10-31-078-16W6/00, 160.5, 915.9, 0, ABOVE Kdoe_ck, 704.2, Kbfs
100/01-02-078-17W6/00, 500, 2732.5, 0, ABOVE Kpaddy, 1407, BELOW TRdoig_p
100/03-03-078-17W6/00, 608, 2752, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/08-06-078-17W6/00, 601, 2747, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
100/03-09-078-17W6/00, 603, 2657.6, 0, ABOVE Kbfs, 2409.6, TRmontney
100/12-17-078-17W6/00, 601, 2741, 0, ABOVE Kbfs, 1407, BELOW TRdoig_p
